,Order_ID,Date,Product,Category,Region,Sales_Amount,Quantity,Customer_Type
0,101,2026-01-01,Laptop,Electronics,North,50000,2,Regular
1,102,2026-01-02,Mobile,Electronics,South,20000,5,New
2,103,2026-01-03,Tablet,Electronics,East,15000,3,Regular
3,104,2026-01-04,Laptop,Electronics,West,55000,2,New
4,105,2026-01-05,Mobile,Electronics,North,22000,6,Regular
5,106,2026-01-06,Tablet,Electronics,South,16000,4,New
6,107,2026-01-07,Laptop,Electronics,East,52000,2,Regular
7,108,2026-01-08,Mobile,Electronics,West,21000,5,New
8,109,2026-01-09,Tablet,Electronics,North,14000,3,Regular
9,110,2026-01-10,Laptop,Electronics,South,58000,2,New
